Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Metric,Value,date
,,,,,,,,,,Avg. Drawdown [%],-10.644108340932185,
,,,,,,,,,,Max. Drawdown Duration,2011 days 00:00:00,
,,,,,,,,,,Avg. Drawdown Duration,1014 days 00:00:00,
,,,,,,,,,,# Trades,15,
,,,,,,,,,,Win Rate [%],53.333333333333336,
,,,,,,,,,,Best Trade [%],2.230258623574244,
,,,,,,,,,,Worst Trade [%],-7.6368269830702555,
,,,,,,,,,,Avg. Trade [%],-0.5854045230460958,
,,,,,,,,,,Max. Trade Duration,25 days 00:00:00,
,,,,,,,,,,Avg. Trade Duration,11 days 00:00:00,
,,,,,,,,,,Profit Factor,0.5709220859906228,
,,,,,,,,,,Expectancy [%],-0.5486511306140047,
,,,,,,,,,,SQN,-0.7721722140025729,
,,,,,,,,,,_strategy,BollingerKeltnerChaikinSMAStrategy,
,,,,,,,,,,_equity_curve,"                   Equity  DrawdownPct DrawdownDuration
2018-01-02  100000.000000     0.000000              NaT
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2024-06-20   91596.954142     0.190051              NaT
2024-06-21   91596.954142     0.190051              NaT
2024-06-24   91596.954142     0.190051              NaT
2024-06-25   91596.954142     0.190051              NaT
2024-06-26   91596.954142     0.190051        2011 days

[1631 rows x 3 columns]",
,,,,,,,,,,_trades,"    Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0    353       148      155  283.095059  282.920013   -61.791008  -0.000618 2018-08-03 2018-08-14  11 days
1    351       157      165  283.966794  290.299988  2222.951062   0.022303 2018-08-16 2018-08-28  12 days
2   -389       240      255  262.434071  256.820007  2183.870954   0.021392 2018-12-14 2019-01-08  25 days
3    365       312      318  285.269412  287.720001   894.464981   0.008590 2019-04-01 2019-04-09   8 days
4    360       417      424  292.303441  297.359985  1820.355886   0.017299 2019-08-29 2019-09-10  12 days
5   -340       632      640  313.980765  321.429993 -2532.737280  -0.023725 2020-07-08 2020-07-20  12 days
6    277       756      758  376.060618  369.709991 -1759.123429  -0.016887 2021-01-04 2021-01-06   2 days
7    277       758      766  370.449411  378.339996  2185.692017   0.021300 2021-01-06 2021-01-19  13 days
8    269       779      786  388.976412  390.420013   388.328722   0.003711 2021-02-05 2021-02-17  12 days
9   -267      1245     1246  393.321765  410.220001 -4511.828969  -0.042963 2022-12-12 2022-12-13   1 days
10   245      1246     1254  411.040441  379.649994 -7690.659595  -0.076368 2022-12-13 2022-12-23  10 days
11   236      1310     1317  394.006441  395.769989   416.197279   0.004476 2023-03-17 2023-03-28  11 days
12   226      1348     1356  412.773912  417.079987   973.172801   0.010432 2023-05-11 2023-05-23  12 days
13   209      1424     1431  450.409030  448.239990  -453.329266  -0.004816 2023-08-30 2023-09-11  12 days
14   182      1579     1586  515.398735  501.779999 -2478.610012  -0.026424 2024-04-12 2024-04-23  11 days",
